forest_name,species,present
Beaverhead-Deerlodge National Forest,colias_eurytheme,TRUE
Bighorn National Forest,colias_eurytheme,TRUE
Bitterroot National Forest,colias_eurytheme,FALSE
Black Hills National Forest,colias_eurytheme,TRUE
Boise National Forest,colias_eurytheme,TRUE
Bridger-Teton National Forest,colias_eurytheme,TRUE
Caribou-Targhee National Forest,colias_eurytheme,TRUE
Carson National Forest,colias_eurytheme,TRUE
Cibola National Forest,colias_eurytheme,TRUE
Cleveland National Forest,colias_eurytheme,TRUE
Coconino National Forest,colias_eurytheme,TRUE
Columbia River Gorge National Scenic Area,colias_eurytheme,TRUE
Colville National Forest,colias_eurytheme,TRUE
Coronado National Forest,colias_eurytheme,TRUE
Custer Gallatin National Forest,colias_eurytheme,TRUE
Dakota Prairie Grasslands,colias_eurytheme,FALSE
Deschutes National Forest,colias_eurytheme,TRUE
Dixie National Forest,colias_eurytheme,TRUE
Eldorado National Forest,colias_eurytheme,TRUE
Fishlake National Forest,colias_eurytheme,TRUE
Flathead National Forest,colias_eurytheme,TRUE
Fremont-Winema National Forest,colias_eurytheme,TRUE
Gifford Pinchot National Forest,colias_eurytheme,TRUE
Gila National Forest,colias_eurytheme,TRUE
"Grand Mesa, Uncompahgre and Gunnison National Forests",colias_eurytheme,TRUE
Helena-Lewis and Clark National Forest,colias_eurytheme,TRUE
Humboldt-Toiyabe National Forest,colias_eurytheme,TRUE
Idaho Panhandle National Forests,colias_eurytheme,TRUE
Inyo National Forest,colias_eurytheme,TRUE
Kaibab National Forest,colias_eurytheme,TRUE
Klamath National Forest,colias_eurytheme,TRUE
Kootenai National Forest,colias_eurytheme,TRUE
Lake Tahoe Basin Management Unit,colias_eurytheme,TRUE
Lassen National Forest,colias_eurytheme,TRUE
Lincoln National Forest,colias_eurytheme,TRUE
Lolo National Forest,colias_eurytheme,TRUE
Los Padres National Forest,colias_eurytheme,TRUE
Malheur National Forest,colias_eurytheme,TRUE
Manti-La Sal National Forest,colias_eurytheme,TRUE
Medicine Bow-Routt National Forest,colias_eurytheme,TRUE
Mendocino National Forest,colias_eurytheme,TRUE
Modoc National Forest,colias_eurytheme,TRUE
Mt. Baker-Snoqualmie National Forest,colias_eurytheme,TRUE
Mt. Hood National Forest,colias_eurytheme,TRUE
Nebraska National Forest,colias_eurytheme,TRUE
Nez Perce-Clearwater National Forest,colias_eurytheme,TRUE
Ochoco National Forest,colias_eurytheme,TRUE
Okanogan-Wenatchee National Forest,colias_eurytheme,TRUE
Olympic National Forest,colias_eurytheme,TRUE
Payette National Forest,colias_eurytheme,TRUE
Pike and San Isabel National Forests,colias_eurytheme,TRUE
Plumas National Forest,colias_eurytheme,TRUE
Prescott National Forest,colias_eurytheme,TRUE
Rio Grande National Forest,colias_eurytheme,TRUE
Rogue River-Siskiyou National Forests,colias_eurytheme,TRUE
Salmon-Challis National Forest,colias_eurytheme,TRUE
San Bernardino National Forest,colias_eurytheme,TRUE
San Juan National Forest,colias_eurytheme,TRUE
Santa Fe National Forest,colias_eurytheme,TRUE
Sawtooth National Forest,colias_eurytheme,TRUE
Sequoia National Forest,colias_eurytheme,TRUE
Shasta-Trinity National Forest,colias_eurytheme,TRUE
Shoshone National Forest,colias_eurytheme,TRUE
Sierra National Forest,colias_eurytheme,TRUE
Siuslaw National Forest,colias_eurytheme,TRUE
Six Rivers National Forest,colias_eurytheme,TRUE
Stanislaus National Forest,colias_eurytheme,TRUE
Tahoe National Forest,colias_eurytheme,TRUE
Tonto National Forest,colias_eurytheme,TRUE
Uinta-Wasatch-Cache National Forest,colias_eurytheme,TRUE
Umatilla National Forest,colias_eurytheme,TRUE
Umpqua National Forest,colias_eurytheme,TRUE
Wallowa-Whitman National Forest,colias_eurytheme,TRUE
White River National Forest,colias_eurytheme,TRUE
Willamette National Forest,colias_eurytheme,TRUE
Angeles National Forest,erebia_epipsodea,FALSE
Apache-Sitgreaves National Forests,erebia_epipsodea,FALSE
Arapaho and Roosevelt National Forests,erebia_epipsodea,TRUE
Ashley National Forest,erebia_epipsodea,TRUE
Beaverhead-Deerlodge National Forest,erebia_epipsodea,TRUE
Bighorn National Forest,erebia_epipsodea,TRUE
Bitterroot National Forest,erebia_epipsodea,TRUE
Black Hills National Forest,erebia_epipsodea,FALSE
Boise National Forest,erebia_epipsodea,TRUE
Bridger-Teton National Forest,erebia_epipsodea,TRUE
Caribou-Targhee National Forest,erebia_epipsodea,TRUE
Carson National Forest,erebia_epipsodea,TRUE
Cibola National Forest,erebia_epipsodea,TRUE
Cleveland National Forest,erebia_epipsodea,FALSE
Coconino National Forest,erebia_epipsodea,FALSE
Columbia River Gorge National Scenic Area,erebia_epipsodea,FALSE
Colville National Forest,erebia_epipsodea,TRUE
Coronado National Forest,erebia_epipsodea,FALSE
Custer Gallatin National Forest,erebia_epipsodea,TRUE
Dakota Prairie Grasslands,erebia_epipsodea,FALSE
Deschutes National Forest,erebia_epipsodea,FALSE
Dixie National Forest,erebia_epipsodea,FALSE
Eldorado National Forest,erebia_epipsodea,FALSE
Fishlake National Forest,erebia_epipsodea,TRUE
Flathead National Forest,erebia_epipsodea,TRUE
Fremont-Winema National Forest,erebia_epipsodea,FALSE
Gifford Pinchot National Forest,erebia_epipsodea,FALSE
Gila National Forest,erebia_epipsodea,FALSE
"Grand Mesa, Uncompahgre and Gunnison National Forests",erebia_epipsodea,TRUE
Helena-Lewis and Clark National Forest,erebia_epipsodea,TRUE
Humboldt-Toiyabe National Forest,erebia_epipsodea,TRUE
Idaho Panhandle National Forests,erebia_epipsodea,TRUE
Inyo National Forest,erebia_epipsodea,TRUE
Kaibab National Forest,erebia_epipsodea,FALSE
Klamath National Forest,erebia_epipsodea,FALSE
Kootenai National Forest,erebia_epipsodea,TRUE
Lake Tahoe Basin Management Unit,erebia_epipsodea,FALSE
Lassen National Forest,erebia_epipsodea,FALSE
Lincoln National Forest,erebia_epipsodea,FALSE
Lolo National Forest,erebia_epipsodea,TRUE
Los Padres National Forest,erebia_epipsodea,FALSE
Malheur National Forest,erebia_epipsodea,FALSE
Manti-La Sal National Forest,erebia_epipsodea,TRUE
Medicine Bow-Routt National Forest,erebia_epipsodea,TRUE
Mendocino National Forest,erebia_epipsodea,FALSE
Modoc National Forest,erebia_epipsodea,FALSE
Mt. Baker-Snoqualmie National Forest,erebia_epipsodea,TRUE
Mt. Hood National Forest,erebia_epipsodea,FALSE
Nebraska National Forest,erebia_epipsodea,FALSE
Nez Perce-Clearwater National Forest,erebia_epipsodea,TRUE
Ochoco National Forest,erebia_epipsodea,FALSE
Okanogan-Wenatchee National Forest,erebia_epipsodea,TRUE
Olympic National Forest,erebia_epipsodea,FALSE
Payette National Forest,erebia_epipsodea,TRUE
Pike and San Isabel National Forests,erebia_epipsodea,TRUE
Plumas National Forest,erebia_epipsodea,FALSE
Prescott National Forest,erebia_epipsodea,FALSE
Rio Grande National Forest,erebia_epipsodea,TRUE
Rogue River-Siskiyou National Forests,erebia_epipsodea,FALSE
Salmon-Challis National Forest,erebia_epipsodea,TRUE
San Bernardino National Forest,erebia_epipsodea,FALSE
San Juan National Forest,erebia_epipsodea,TRUE
Santa Fe National Forest,erebia_epipsodea,TRUE
Sawtooth National Forest,erebia_epipsodea,TRUE
Sequoia National Forest,erebia_epipsodea,TRUE
Shasta-Trinity National Forest,erebia_epipsodea,FALSE
Shoshone National Forest,erebia_epipsodea,TRUE
Sierra National Forest,erebia_epipsodea,TRUE
Siuslaw National Forest,erebia_epipsodea,FALSE
Six Rivers National Forest,erebia_epipsodea,FALSE
Stanislaus National Forest,erebia_epipsodea,FALSE
Tahoe National Forest,erebia_epipsodea,FALSE
Tonto National Forest,erebia_epipsodea,FALSE
Uinta-Wasatch-Cache National Forest,erebia_epipsodea,TRUE
Umatilla National Forest,erebia_epipsodea,TRUE
Umpqua National Forest,erebia_epipsodea,FALSE
Wallowa-Whitman National Forest,erebia_epipsodea,TRUE
White River National Forest,erebia_epipsodea,TRUE
Willamette National Forest,erebia_epipsodea,FALSE
Angeles National Forest,eurema_mexicana,TRUE
Apache-Sitgreaves National Forests,eurema_mexicana,TRUE
Arapaho and Roosevelt National Forests,eurema_mexicana,TRUE
Ashley National Forest,eurema_mexicana,FALSE
Beaverhead-Deerlodge National Forest,eurema_mexicana,FALSE
Bighorn National Forest,eurema_mexicana,FALSE
Bitterroot National Forest,eurema_mexicana,FALSE
Black Hills National Forest,eurema_mexicana,FALSE
Boise National Forest,eurema_mexicana,FALSE
Bridger-Teton National Forest,eurema_mexicana,FALSE
Caribou-Targhee National Forest,eurema_mexicana,FALSE
Carson National Forest,eurema_mexicana,TRUE
Cibola National Forest,eurema_mexicana,TRUE
Cleveland National Forest,eurema_mexicana,TRUE
Coconino National Forest,eurema_mexicana,TRUE
Columbia River Gorge National Scenic Area,eurema_mexicana,FALSE
Colville National Forest,eurema_mexicana,FALSE
Coronado National Forest,eurema_mexicana,TRUE
Custer Gallatin National Forest,eurema_mexicana,FALSE
Dakota Prairie Grasslands,eurema_mexicana,FALSE
Deschutes National Forest,eurema_mexicana,FALSE
Dixie National Forest,eurema_mexicana,FALSE
Eldorado National Forest,eurema_mexicana,FALSE
Fishlake National Forest,eurema_mexicana,FALSE
Flathead National Forest,eurema_mexicana,FALSE
Fremont-Winema National Forest,eurema_mexicana,FALSE
Gifford Pinchot National Forest,eurema_mexicana,FALSE
Gila National Forest,eurema_mexicana,TRUE
"Grand Mesa, Uncompahgre and Gunnison National Forests",eurema_mexicana,FALSE
Helena-Lewis and Clark National Forest,eurema_mexicana,FALSE
Humboldt-Toiyabe National Forest,eurema_mexicana,TRUE
Idaho Panhandle National Forests,eurema_mexicana,FALSE
Inyo National Forest,eurema_mexicana,FALSE
Kaibab National Forest,eurema_mexicana,TRUE
Klamath National Forest,eurema_mexicana,FALSE
Kootenai National Forest,eurema_mexicana,FALSE
Lake Tahoe Basin Management Unit,eurema_mexicana,FALSE
Lassen National Forest,eurema_mexicana,FALSE
Lincoln National Forest,eurema_mexicana,TRUE
Lolo National Forest,eurema_mexicana,FALSE
Los Padres National Forest,eurema_mexicana,FALSE
Malheur National Forest,eurema_mexicana,FALSE
Manti-La Sal National Forest,eurema_mexicana,FALSE
Medicine Bow-Routt National Forest,eurema_mexicana,TRUE
Mendocino National Forest,eurema_mexicana,FALSE
Modoc National Forest,eurema_mexicana,FALSE
Mt. Baker-Snoqualmie National Forest,eurema_mexicana,FALSE
Mt. Hood National Forest,eurema_mexicana,FALSE
Nebraska National Forest,eurema_mexicana,FALSE
Nez Perce-Clearwater National Forest,eurema_mexicana,FALSE
Ochoco National Forest,eurema_mexicana,FALSE
Okanogan-Wenatchee National Forest,eurema_mexicana,FALSE
Olympic National Forest,eurema_mexicana,FALSE
Payette National Forest,eurema_mexicana,FALSE
Pike and San Isabel National Forests,eurema_mexicana,FALSE
Plumas National Forest,eurema_mexicana,FALSE
Prescott National Forest,eurema_mexicana,TRUE
Rio Grande National Forest,eurema_mexicana,FALSE
Rogue River-Siskiyou National Forests,eurema_mexicana,FALSE
Salmon-Challis National Forest,eurema_mexicana,FALSE
San Bernardino National Forest,eurema_mexicana,TRUE
San Juan National Forest,eurema_mexicana,TRUE
Santa Fe National Forest,eurema_mexicana,TRUE
Sawtooth National Forest,eurema_mexicana,FALSE
Sequoia National Forest,eurema_mexicana,FALSE
Shasta-Trinity National Forest,eurema_mexicana,FALSE
Shoshone National Forest,eurema_mexicana,FALSE
Sierra National Forest,eurema_mexicana,FALSE
Siuslaw National Forest,eurema_mexicana,FALSE
Six Rivers National Forest,eurema_mexicana,FALSE
Stanislaus National Forest,eurema_mexicana,FALSE
Tahoe National Forest,eurema_mexicana,FALSE
Tonto National Forest,eurema_mexicana,TRUE
Uinta-Wasatch-Cache National Forest,eurema_mexicana,FALSE
Umatilla National Forest,eurema_mexicana,FALSE
Umpqua National Forest,eurema_mexicana,FALSE
Wallowa-Whitman National Forest,eurema_mexicana,FALSE
White River National Forest,eurema_mexicana,FALSE
Willamette National Forest,eurema_mexicana,FALSE
Angeles National Forest,gyrocheilus_patrobas,FALSE
Apache-Sitgreaves National Forests,gyrocheilus_patrobas,FALSE
Arapaho and Roosevelt National Forests,gyrocheilus_patrobas,FALSE
Ashley National Forest,gyrocheilus_patrobas,FALSE
Beaverhead-Deerlodge National Forest,gyrocheilus_patrobas,FALSE
Bighorn National Forest,gyrocheilus_patrobas,FALSE
Bitterroot National Forest,gyrocheilus_patrobas,FALSE
Black Hills National Forest,gyrocheilus_patrobas,FALSE
Boise National Forest,gyrocheilus_patrobas,FALSE
Bridger-Teton National Forest,gyrocheilus_patrobas,FALSE
Caribou-Targhee National Forest,gyrocheilus_patrobas,FALSE
Carson National Forest,gyrocheilus_patrobas,FALSE
Cibola National Forest,gyrocheilus_patrobas,FALSE
Cleveland National Forest,gyrocheilus_patrobas,FALSE
Coconino National Forest,gyrocheilus_patrobas,FALSE
Columbia River Gorge National Scenic Area,gyrocheilus_patrobas,FALSE
Colville National Forest,gyrocheilus_patrobas,FALSE
Coronado National Forest,gyrocheilus_patrobas,TRUE
Custer Gallatin National Forest,gyrocheilus_patrobas,FALSE
Dakota Prairie Grasslands,gyrocheilus_patrobas,FALSE
Deschutes National Forest,gyrocheilus_patrobas,FALSE
Dixie National Forest,gyrocheilus_patrobas,FALSE
Eldorado National Forest,gyrocheilus_patrobas,FALSE
Fishlake National Forest,gyrocheilus_patrobas,FALSE
Flathead National Forest,gyrocheilus_patrobas,FALSE
Fremont-Winema National Forest,gyrocheilus_patrobas,FALSE
Gifford Pinchot National Forest,gyrocheilus_patrobas,FALSE
Gila National Forest,gyrocheilus_patrobas,FALSE
"Grand Mesa, Uncompahgre and Gunnison National Forests",gyrocheilus_patrobas,FALSE
Helena-Lewis and Clark National Forest,gyrocheilus_patrobas,FALSE
Humboldt-Toiyabe National Forest,gyrocheilus_patrobas,FALSE
Idaho Panhandle National Forests,gyrocheilus_patrobas,FALSE
Inyo National Forest,gyrocheilus_patrobas,FALSE
Kaibab National Forest,gyrocheilus_patrobas,FALSE
Klamath National Forest,gyrocheilus_patrobas,FALSE
Kootenai National Forest,gyrocheilus_patrobas,FALSE
Lake Tahoe Basin Management Unit,gyrocheilus_patrobas,FALSE
Lassen National Forest,gyrocheilus_patrobas,FALSE
Lincoln National Forest,gyrocheilus_patrobas,FALSE
Lolo National Forest,gyrocheilus_patrobas,FALSE
Los Padres National Forest,gyrocheilus_patrobas,FALSE
Malheur National Forest,gyrocheilus_patrobas,FALSE
Manti-La Sal National Forest,gyrocheilus_patrobas,FALSE
Medicine Bow-Routt National Forest,gyrocheilus_patrobas,FALSE
Mendocino National Forest,gyrocheilus_patrobas,FALSE
